101,44.133,145.161
102,44.076,145.122
103,43.572,144.561
104,43.61,144.439
105,43.386,144.009
106,43.418,143.031
107,43.664,142.854
108,43.418,142.686
109,42.691,141.377
110,42.793,141.285
111,42.505,141.144
112,42.544,140.839
113,42.063,140.677
114,41.805,141.166
115,41.51,139.367
116,45.179,141.242
117,42.827,140.811
118,42.885,140.641
119,44.044,145.086
120,43.454,144.165
151,45.389,148.838
152,45.338,147.92
153,45.1,148.019
154,45.028,147.918
155,45.012,147.871
156,44.808,147.131
157,44.462,146.932
158,44.353,146.252
159,43.979,145.733
160,43.844,145.504
161,44.454,146.139
201,41.279,141.12
202,40.656,140.303
203,40.659,140.877
204,40.459,140.91
205,39.964,140.757
206,39.958,140.854
207,39.853,141.001
208,39.761,140.799
209,39.099,140.049
210,38.961,140.788
211,38.729,140.734
212,38.144,140.44
213,37.735,140.244
214,37.633,140.283
215,37.601,140.072
216,36.955,139.285
217,38.599,140.162
218,37.444,139.566
301,37.125,139.963
302,36.799,139.376
303,36.56,139.193
304,36.477,138.851
305,36.644,138.528
306,36.406,138.523
307,36.921,138.036
308,36.891,138.114
309,36.571,137.59
310,36.227,137.587
311,36.106,137.554
312,35.893,137.48
313,36.155,136.771
314,35.361,138.728
315,35.233,139.021
316,34.903,139.095
317,34.724,139.394
318,34.397,139.27
319,34.219,139.153
320,34.094,139.526
321,33.137,139.766
322,32.458,139.759
323,31.888,139.918
324,31.44,140.051
325,30.484,140.303
326,27.247,140.874
327,26.127,141.102
328,25.455,141.238
329,24.751,141.289
330,24.417,141.417
331,24.285,141.481
333,36.9,139.777
334,36.087,138.32
335,36.2,137.573
336,34.52,139.279
337,33.874,139.602
338,29.794,140.342
339,26.667,140.929
340,23.5,141.935
341,23.078,142.326
342,36.765,139.491
350,36.643,138.536
351,36.618,138.527
401,35.141,132.622
502,33.086,131.249
503,32.884,131.104
504,32.761,130.299
505,31.934,130.862
506,31.593,130.657
507,31.18,130.528
508,30.793,130.305
509,30.443,130.217
510,29.859,129.857
511,29.638,129.714
512,34.449,131.402
513,33.287,131.43
514,33.282,131.39
515,32.657,128.849
516,31.771,130.592
517,31.663,130.798
518,31.213,130.567
519,29.968,129.926
550,31.886,130.91
551,31.909,130.886
552,31.947,130.854
553,31.926,130.897
601,27.881,128.223
602,24.567,123.933
