1,56.1,162.6
2,53.2,159.6
3,50.8,156.1
4,46.1,150.5
5,35.1,129.1
6,34.2,126.6
7,33.2,126.5
8,24,121.6
9,20.4,122
10,17.2,122.6
11,13.2,123.8
12,12.6,125
13,9.2,126
14,6.9,125.7
15,2.5,128.7
16,0.4,128.8
17,-0.8,131.1
18,-0.8,134.2
19,-0.6,135.8
20,-2.4,140.8
21,-2.6,141.3
22,-3.5,143.7
23,-5.2,145.8
24,-2,147.5
25,-4.2,152.3
26,-2.5,150.7
27,-5.6,150.2
28,-6.1,155.6
29,13.4,144.7
30,15.3,145.8
31,7.3,134.5
32,9.5,138.1
33,7.4,151.8
34,7,158.2
35,5.5,163
36,11.4,162.3
37,-6.9,157.2
38,-8.8,160.6
39,-10.4,161.9
40,-8.4,157.2
41,-9.3,160
66,58.8,164.5
67,55.1,165.7
68,34.7,128.4
69,34.6,125.4
70,33.5,127
71,25.2,121.8
72,22.7,121.2
74,24.2,120.4
75,4.6,126.8
76,-5,151.3
77,-7.8,159.2
78,-6,154.7
79,-7.4,155.6
80,-10.6,152.7
81,-10.3,150.4
82,-6.8,147
83,-9.5,147.2
84,31.2,122.3
85,29.9,122.5
86,27.8,121.2
